ticker,company,sector,market_cap,combs_score,weschler_score,combined_score,combs_unit_economics,combs_frictionless,combs_capital_allocation,combs_moat,weschler_variant,weschler_complexity,weschler_distressed,weschler_quality,weschler_compounding,trailing_pe,forward_pe,roic,fcf_yield,gross_margin,operating_margin,revenue_cagr_3y,drawdown_52w,combs_style_flag,weschler_style_flag,run_date,run_timestamp,ticker
MMM,3M Company,Industrials,79173550080,49.752186383251626,45.38788315651153,47.57003476988157,9.702286488000606,10.802329317269077,16.825598066565078,12.421972511416865,12.526539278131635,5.206633835269683,8.039781376518217,11.694462435655177,7.920466230936819,25.053335,15.983956,0.3024603545044431,0.017632151123568765,0.39911014911014914,0.19203944203944204,-0.01570080136859997,-0.1186090384657022,False,False,2026-04-11,2026-04-11 23:14:52,MMM
AOS,A. O. Smith Corporation,Industrials,9116070912,55.0021324139075,62.6926506724812,58.84739154319435,13.84217841162675,6.569899598393573,17.772643499495175,16.817410904392005,10.222929936305732,13.465262056208218,12.419603238866397,16.21907213136118,10.365783309739667,17.122078,15.171635,0.296466804980305,0.05989422474558302,0.38833481280350896,0.19006840373870817,0.006729784443180398,-0.15487181834685496,False,False,2026-04-11,2026-04-11 23:14:52,AOS
ABT,Abbott Laboratories,Health Care,174289600512,52.84364146083075,52.197178543096044,52.5204100019634,14.883629855464214,12.689236947791166,12.644142890053603,12.626631767521769,10.535031847133759,4.215352923995585,13.740242914979756,12.021245846093699,11.685305010893245,26.962366,16.420067,0.10798596266008519,0.0424293817776629,0.5641806533116765,0.18166847139505504,0.005127944169646348,-0.2521809952753777,False,False,2026-04-11,2026-04-11 23:14:52,ABT
ABBV,AbbVie Inc.,Health Care,367796453376,56.756579309058786,53.017983728376485,54.887281518717636,14.979405977167676,15.533514056224899,13.45846400197958,12.785195273686634,10.029723991507431,10.335657655611087,13.504194331983808,11.911186551117481,7.237221198156682,87.7384,12.9211855,0.21851105292402662,0.0484398363183416,0.7023544800523218,0.32849901896664485,0.017525049181538188,-0.10401585315059342,False,False,2026-04-11,2026-04-11 23:14:52,ABBV
ACN,Accenture plc,Information Technology,110489067520,60.40607742301092,65.93260980541113,63.16934361421103,11.938269720842824,15.670602409638553,18.105472914639847,14.691732377889702,11.575371549893843,8.047629648860907,16.626955465587045,17.61681436111292,12.065838779956426,14.703522,12.026563,0.29633227005244833,0.09842023508825065,0.31913952808418106,0.15559817402376822,0.04193654176414818,-0.42567400215815027,False,True,2026-04-11,2026-04-11 23:14:52,ACN
ADBE,Adobe Inc.,Information Technology,91860983808,79.8356193492225,59.26983974743763,69.55272954833006,22.511439522812775,15.537289156626507,22.8618137007715,18.925076969011712,14.131634819532907,4.931900434867268,15.885684210526312,14.460308203557698,9.860312078953445,13.139942,8.550245,0.5535157478882614,0.10724901466972976,0.8926753334174765,0.36627540073204595,0.10522339932516123,-0.457105668429367,True,False,2026-04-11,2026-04-11 23:14:52,ADBE
AMD,"Advanced Micro Devices, Inc.",Information Technology,399515877376,50.47146174024114,34.1022325924066,42.28684716632387,10.08965519115139,22.631787148594377,8.031341750142719,9.718677650352664,9.881104033970276,4.376597325890829,4.735538461538462,6.773062487782631,8.335930283224402,93.52672,22.668024,0.06175320705195654,0.016857903230868165,0.4951644100580271,0.10664280146655504,0.13643599335368428,-0.04326097939360432,False,False,2026-04-11,2026-04-11 23:14:52,AMD
AES,The AES Corporation,Utilities,10261100544,41.82385735896035,57.29827645820372,49.561066908582035,8.797580618461943,7.605020080321284,14.62463962567445,10.796617034502674,14.235668789808916,11.128510904134483,9.080485829959514,9.878390890727829,12.975220043572984,10.984734,6.028185,0.2064051404833528,-0.15817016830119854,0.1807406196354124,0.16103981034905585,-0.010249740650209005,-0.16724538359285085,False,False,2026-04-11,2026-04-11 23:14:52,AES
AFL,Aflac Incorporated,Financials,58019409920,43.35032805756451,46.150912939345446,44.75062049845498,13.855421686746988,6.372188755020081,10.622717615797445,12.5,7.3545647558386404,8.757997501135847,9.382064777327933,12.75,7.9062859050430205,16.23167,14.328743,,0.044036986993196914,,,-0.03229187547440737,-0.014538569433347468,False,False,2026-04-11,2026-04-11 23:14:52,AFL
A,"Agilent Technologies, Inc.",Health Care,32543528960,55.29488083439916,53.32671159138086,54.31079621289001,15.813633040461605,11.88028112449799,14.73620819795359,12.86475847148598,10.237791932059448,6.878232459271761,12.390170040485831,16.38210725223171,7.438409907332108,25.399557,17.476204,0.16168463920544404,0.035398742447874956,0.5243235463442717,0.21286701208981001,0.004844098070605929,-0.2473703127278491,False,False,2026-04-11,2026-04-11 23:14:52,A
APD,"Air Products and Chemicals, Inc.",Materials,66509570048,45.53195896420321,43.441656306612884,44.48680763540805,9.538429087149407,11.885763052208834,7.052590199930014,17.055176624914953,10.0,9.594157688063868,3.6360647773279355,10.12586303512087,10.085570806100217,,21.269793,0.07228195635168218,-0.05662042315537778,0.3141319066568084,0.24000398760519387,-0.01766923192508929,0.0,False,False,2026-04-11,2026-04-11 23:14:52,APD
ABNB,"Airbnb, Inc.",Consumer Discretionary,77313327104,62.53360514314318,41.68735733177934,52.11048123746126,17.005318257335755,15.977730923694777,18.394130212123663,11.156425749988987,8.707006369426752,4.094946128383202,8.053999999999998,10.78523489932886,10.046169934640524,31.920794,22.301737,0.5494698737850432,,0.8295890858589985,0.20782615799362797,0.13378255972989694,-0.049808388196542014,False,False,2026-04-11,2026-04-11 23:14:52,ABNB
AKAM,"Akamai Technologies, Inc.",Information Technology,13448824832,39.85609557197255,60.39564059559132,50.12586808378194,12.481870657178941,8.62909638554217,10.651677870181334,8.093450659070106,13.760084925690022,15.255828681768024,12.390623481781375,12.129425946439042,6.859677559912854,29.755701,12.042935,0.04848723466733596,0.051994505745674956,0.589486416320614,0.14929084460603467,0.05178977181914113,-0.20461471756392932,False,False,2026-04-11,2026-04-11 23:14:52,AKAM
ALB,Albemarle Corporation,Materials,20469878784,19.39800057245372,35.86587880619397,27.631939689323843,1.0603067840778178,10.860662650602409,5.95707670734418,1.5199544304293129,10.0,9.272759297721816,6.099441295546559,1.0719505440802761,9.421727668845316,,20.089176,0.004740909640238619,0.033828534467984075,0.13003183326841972,0.013083510265845028,-0.11101948515436078,-0.030411866193309937,False,False,2026-04-11,2026-04-11 23:14:52,ALB
ARE,"Alexandria Real Estate Equities, Inc.",Real Estate,7384328704,32.70343663904132,55.80959494230079,44.25651579067106,11.868415317235884,7.265722891566265,7.331333251069015,6.237965179170154,10.0,12.597333517232428,19.144906882591094,4.544478725483808,9.522875816993464,,-532.625,0.015840035797854396,0.19149282984031152,0.686740176729736,0.18845908986732537,0.04564958075072889,-0.46460066577672754,False,False,2026-04-11,2026-04-11 23:14:52,ARE
ALGN,"Align Technology, Inc.",Health Care,12399814656,44.29589804183237,52.95576044135284,48.625829241592605,13.974337821828197,6.516204819277109,12.667639606049555,11.137715794677511,10.936305732484078,11.195498474719283,8.410542510121457,14.306241610738255,8.107172113289762,30.698582,14.106356,0.1337275825500796,0.039579462565799174,0.6718803439138491,0.1450597824416773,0.026117671821406674,-0.08921623445204896,False,False,2026-04-11,2026-04-11 23:14:52,ALGN
ALLE,Allegion plc,Industrials,12474727424,60.672013932923804,60.527417904914806,60.5997159189193,14.98694323893568,12.136626506024097,16.581959359057944,16.966484828906083,11.456475583864119,11.016583371194912,12.91480971659919,13.095958819313223,12.043590413943354,19.437584,15.254784,0.1950772498662635,0.05496713288346396,0.4519705947434416,0.21131954859489097,0.07523170466176188,-0.18038825526946242,False,False,2026-04-11,2026-04-11 23:14:52,ALLE
LNT,Alliant Energy Corporation,Utilities,18880010240,54.089747831013284,52.28521213148734,53.18747998125031,16.77285041311281,11.231526104417672,9.732032155467508,16.3533391580153,7.711252653927812,16.299339910430323,7.067999999999999,10.731077083469083,10.47554248366013,23.280254,19.888666,0.0664788523984513,,0.45667125171939477,0.23498395231545163,0.012293745856755134,0.0,False,False,2026-04-11,2026-04-11 23:14:52,LNT
